input_file,file,alpha,pcrc,pcrp,sampling_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,%_oligos_seen,dropout_rate,decoded_successfully
lena.jpg,seq_copy_counts.csv,0.5,11,0.5,0.9,0.0008,0,644,3286,5.1,96.74,3.26,Yes
lena.jpg,seq_copy_counts.csv,0.5,11,0.5,0.05,0.0008,0,644,3284,5.1,96.58,3.42,Yes
lena.jpg,seq_copy_counts.csv,0.5,11,0.5,0.05,0.0008,0,644,3271,5.08,95.81,4.19,Yes
lena.jpg,seq_copy_counts.csv,0.5,11,0.5,0.09,0.0008,0,644,3302,5.13,94.1,5.9,Yes
lena.jpg,seq_copy_counts.csv,0.5,11,0.5,0.09,0.0008,0,644,3179,4.94,93.63,6.37,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.09,0.0008,0,730,3638,4.98,95.34,4.66,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.09,0.001,0,730,3722,5.1,94.25,5.75,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.09,0.001,0,730,3624,4.96,96.16,3.84,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.09,0.002,0,730,3643,4.99,95.89,4.11,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.09,0.002,0,730,3572,4.89,95.89,4.11,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.09,0.002,0,730,3706,5.08,96.03,3.97,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.002,0,730,3708,5.08,95.21,4.79,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.002,0,730,3702,5.07,95.21,4.79,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.003,0,730,3687,5.05,93.7,6.3,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.005,0,730,3598,4.93,95.21,4.79,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.01,0,730,3598,4.93,96.44,3.56,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.01,0,730,3712,5.08,95.34,4.66,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.01,0,730,3716,5.09,96.71,3.29,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.01,0,730,3614,4.95,95.21,4.79,Yes


TM_NNP
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.01,0,730,3644,4.99,94.66,5.34,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.005,0.01,0,730,3676,5.04,95.62,4.38,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.005,0.01,0,730,3623,4.96,96.44,3.56,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,1,0.01,0,730,3714,5.09,96.99,3.01,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.97,0.01,0,730,3598,4.93,96.58,3.42,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.9,0.05,0,730,3617,4.95,96.3,3.7,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.9,0.005,0,730,3633,4.98,94.25,5.75,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.9,0.0005,0,730,3641,4.99,95.21,4.79,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.9,0.0005,0,730,3680,5.04,93.97,6.03,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.9,0.9,0.0005,0,730,3508,4.81,95.75,4.25,Yes
lena.jpg,seq_copy_counts.csv,0.7,14,0.7,0.9,0.0005,0,730,3738,5.12,94.79,5.21,Yes

TM_NGS
lena.jpg,seq_copy_counts.csv,0.7,14,0.7,0.9,0.0005,0,730,725,0.99,60.27,39.73,No
